ห้องที่,ชุดที่,ลำดับที่,จังหวัด,เขต,ชื่อ - นามสกุล,บัตรประชาชน
1,5,517,จังหวัดสระแก้ว,4,abc123513,1111111111169
1,10,783,จังหวัดหนองบัวลำภู,14,abc123514,1111111111170
1,8,365,จังหวัดสระบุรี,3,abc123515,1111111111171
1,2,506,จังหวัดสิงห์บุรี,3,abc123516,1111111111172
2,7,168,จังหวัดสุโขทัย,4,abc123517,1111111111173
1,12,953,จังหวัดสุพรรณบุรี,7,abc123518,1111111111174
1,13,227,จังหวัดสุราษฎร์ธานี,2,abc123519,1111111111175
2,11,563,จังหวัดสุรินทร์,8,abc123520,1111111111176
2,12,839,จังหวัดหนองคาย,5,abc123521,1111111111177
1,6,58,จังหวัดอ่างทอง,6,abc123522,1111111111178
2,2,317,จังหวัดอำนาจเจริญ,9,abc123523,1111111111179
2,11,21,จังหวัดอุดรธานี,10,abc123524,1111111111180
1,10,75,จังหวัดอุตรดิตถ์,4,abc123525,1111111111181
2,3,872,จังหวัดอุทัยธานี,12,abc123526,1111111111182
1,14,363,จังหวัดอุบลราชธานี,2,abc123527,1111111111183
2,2,173,จังหวัดกระบี่,1,abc123528,1111111111184
1,6,505,จังหวัดกาญจนบุรี,14,abc123529,1111111111185
2,14,79,จังหวัดกาฬสินธุ์,7,abc123530,1111111111186
1,13,734,จังหวัดกำแพงเพชร,14,abc123531,1111111111187
2,14,13,จังหวัดขอนแก่น,3,abc123532,1111111111188
1,6,31,จังหวัดจันทบุรี,12,abc123533,1111111111189
2,9,158,จังหวัดฉะเชิงเทรา,5,abc123534,1111111111190
1,6,293,จังหวัดชลบุรี,7,abc123535,1111111111191
1,7,806,จังหวัดชัยนาท,12,abc123536,1111111111192
1,13,232,จังหวัดชัยภูมิ,10,abc123537,1111111111193
2,5,592,จังหวัดชุมพร,4,abc123538,1111111111194
2,11,106,จังหวัดเชียงราย,5,abc123539,1111111111195
2,9,906,จังหวัดเชียงใหม่,12,abc123540,1111111111196
1,3,626,จังหวัดตรัง,1,abc123541,1111111111197
1,1,600,จังหวัดตราด,13,abc123542,1111111111198
2,10,556,จังหวัดตาก,5,abc123543,1111111111199
1,8,478,จังหวัดนครนายก,10,abc123544,1111111111200
1,4,953,จังหวัดนครปฐม,9,abc123545,1111111111201
1,3,768,จังหวัดนครพนม,6,abc123546,1111111111202
1,13,986,จังหวัดนครราชสีมา,14,abc123547,1111111111203
1,4,87,จังหวัดนครศรีธรรมราช,14,abc123548,1111111111204
1,4,533,จังหวัดนครสวรรค์,8,abc123549,1111111111205
2,4,712,จังหวัดนนทบุรี,5,abc123550,1111111111206
2,3,495,จังหวัดนราธิวาส,12,abc123551,1111111111207
1,7,675,จังหวัดน่าน,10,abc123552,1111111111208
2,7,146,จังหวัดบึงกาฬ,7,abc123553,1111111111209
2,8,436,จังหวัดบุรีรัมย์,2,abc123554,1111111111210
2,11,943,จังหวัดปทุมธานี,11,abc123555,1111111111211
2,4,87,จังหวัดประจวบคีรีขันธ์,4,abc123556,1111111111212
1,4,550,จังหวัดปราจีนบุรี,13,abc123557,1111111111213
2,1,108,จังหวัดปัตตานี,4,abc123558,1111111111214
2,4,524,จังหวัดพระนครศรีอยุธยา,10,abc123559,1111111111215
2,2,154,จังหวัดพะเยา,5,abc123560,1111111111216
2,10,966,จังหวัดพังงา,11,abc123561,1111111111217
1,1,807,จังหวัดพัทลุง,1,abc123562,1111111111218
1,1,484,จังหวัดพิจิตร,8,abc123563,1111111111219
1,10,296,จังหวัดพิษณุโลก,10,abc123564,1111111111220
1,9,363,จังหวัดเพชรบุรี,7,abc123565,1111111111221
2,10,189,จังหวัดเพชรบูรณ์,13,abc123566,1111111111222
2,7,712,จังหวัดแพร่,3,abc123567,1111111111223
1,8,774,จังหวัดภูเก็ต,12,abc123568,1111111111224
2,14,347,จังหวัดมหาสารคาม,14,abc123569,1111111111225
2,11,142,จังหวัดมุกดาหาร,3,abc123570,1111111111226
1,5,944,จังหวัดแม่ฮ่องสอน,7,abc123571,1111111111227
1,3,996,จังหวัดยโสธร,4,abc123572,1111111111228
2,1,844,จังหวัดยะลา,6,abc123573,1111111111229
1,3,218,จังหวัดร้อยเอ็ด,8,abc123574,1111111111230
2,9,283,จังหวัดระนอง,10,abc123575,1111111111231
2,5,735,จังหวัดระยอง,3,abc123576,1111111111232
1,5,501,จังหวัดราชบุรี,11,abc123577,1111111111233
2,14,65,จังหวัดลพบุรี,3,abc123578,1111111111234
2,4,571,จังหวัดลำปาง,2,abc123579,1111111111235
2,8,730,จังหวัดลำพูน,5,abc123580,1111111111236
1,10,929,จังหวัดเลย,5,abc123581,1111111111237
1,3,110,จังหวัดศรีสะเกษ,12,abc123582,1111111111238
1,2,911,จังหวัดสกลนคร,11,abc123583,1111111111239
2,3,892,จังหวัดสงขลา,8,abc123584,1111111111240
2,1,498,จังหวัดสตูล,8,abc123585,1111111111241
2,3,483,จังหวัดสมุทรปราการ,1,abc123586,1111111111242
1,4,302,จังหวัดสมุทรสงคราม,2,abc123587,1111111111243
1,11,272,จังหวัดสมุทรสาคร,4,abc123588,1111111111244
1,10,368,จังหวัดสระแก้ว,10,abc123589,1111111111245
1,11,535,จังหวัดหนองบัวลำภู,7,abc123590,1111111111246
2,11,911,จังหวัดสระบุรี,8,abc123591,1111111111247
2,14,10,จังหวัดสิงห์บุรี,9,abc123592,1111111111248
1,6,839,จังหวัดสุโขทัย,6,abc123593,1111111111249
1,4,324,จังหวัดสุพรรณบุรี,10,abc123594,1111111111250
1,1,971,จังหวัดสุราษฎร์ธานี,7,abc123595,1111111111251
2,13,717,จังหวัดสุรินทร์,9,abc123596,1111111111252
1,5,922,จังหวัดหนองคาย,4,abc123597,1111111111253
1,14,151,จังหวัดอ่างทอง,12,abc123598,1111111111254
2,7,705,จังหวัดอำนาจเจริญ,10,abc123599,1111111111255
1,12,137,จังหวัดอุดรธานี,11,abc123600,1111111111256
2,8,211,จังหวัดอุตรดิตถ์,2,abc123601,1111111111257
2,3,537,จังหวัดอุทัยธานี,6,abc123602,1111111111258
2,4,922,จังหวัดอุบลราชธานี,4,abc123603,1111111111259
1,9,472,จังหวัดกระบี่,3,abc123604,1111111111260
1,13,782,จังหวัดกาญจนบุรี,14,abc123605,1111111111261
1,8,57,จังหวัดกาฬสินธุ์,4,abc123606,1111111111262
1,14,153,จังหวัดกำแพงเพชร,10,abc123607,1111111111263
1,14,460,จังหวัดขอนแก่น,6,abc123608,1111111111264
2,3,839,จังหวัดจันทบุรี,2,abc123609,1111111111265
1,7,80,จังหวัดฉะเชิงเทรา,11,abc123610,1111111111266
1,8,284,จังหวัดชลบุรี,10,abc123611,1111111111267
2,7,148,จังหวัดชัยนาท,8,abc123612,1111111111268
1,9,272,จังหวัดชัยภูมิ,8,abc123613,1111111111269
1,5,792,จังหวัดชุมพร,3,abc123614,1111111111270
1,8,636,จังหวัดเชียงราย,8,abc123615,1111111111271
1,9,308,จังหวัดเชียงใหม่,9,abc123616,1111111111272
2,11,118,จังหวัดตรัง,14,abc123617,1111111111273
1,10,829,จังหวัดตราด,7,abc123618,1111111111274
2,14,386,จังหวัดตาก,14,abc123619,1111111111275
1,8,641,จังหวัดนครนายก,1,abc123620,1111111111276
1,2,144,จังหวัดนครปฐม,2,abc123621,1111111111277
2,3,471,จังหวัดนครพนม,5,abc123622,1111111111278
1,2,989,จังหวัดนครราชสีมา,8,abc123623,1111111111279
1,8,189,จังหวัดนครศรีธรรมราช,8,abc123624,1111111111280
2,14,450,จังหวัดนครสวรรค์,6,abc123625,1111111111281
2,8,644,จังหวัดนนทบุรี,4,abc123626,1111111111282
1,9,50,จังหวัดนราธิวาส,7,abc123627,1111111111283
1,11,915,จังหวัดน่าน,12,abc123628,1111111111284
1,12,997,จังหวัดบึงกาฬ,5,abc123629,1111111111285
1,11,880,จังหวัดบุรีรัมย์,4,abc123630,1111111111286
2,7,653,จังหวัดปทุมธานี,7,abc123631,1111111111287
1,1,3,จังหวัดประจวบคีรีขันธ์,11,abc123632,1111111111288
1,5,458,จังหวัดปราจีนบุรี,8,abc123633,1111111111289
1,14,18,จังหวัดปัตตานี,5,abc123634,1111111111290
2,13,757,จังหวัดพระนครศรีอยุธยา,1,abc123635,1111111111291
2,1,246,จังหวัดพะเยา,7,abc123636,1111111111292
1,8,642,จังหวัดพังงา,10,abc123637,1111111111293
2,3,620,จังหวัดพัทลุง,2,abc123638,1111111111294
1,13,658,จังหวัดพิจิตร,10,abc123639,1111111111295
1,8,836,จังหวัดพิษณุโลก,8,abc123640,1111111111296
1,11,4,จังหวัดเพชรบุรี,10,abc123641,1111111111297
2,14,45,จังหวัดเพชรบูรณ์,4,abc123642,1111111111298
1,11,910,จังหวัดแพร่,8,abc123643,1111111111299
2,1,969,จังหวัดภูเก็ต,14,abc123644,1111111111300
2,12,448,จังหวัดมหาสารคาม,8,abc123645,1111111111301
1,5,625,จังหวัดมุกดาหาร,4,abc123646,1111111111302
1,3,302,จังหวัดแม่ฮ่องสอน,5,abc123647,1111111111303
1,1,964,จังหวัดยโสธร,6,abc123648,1111111111304
2,5,691,จังหวัดยะลา,8,abc123649,1111111111305
2,1,640,จังหวัดร้อยเอ็ด,3,abc123650,1111111111306
2,3,706,จังหวัดระนอง,6,abc123651,1111111111307
1,5,973,จังหวัดระยอง,3,abc123652,1111111111308
1,11,974,จังหวัดราชบุรี,10,abc123653,1111111111309
2,8,645,จังหวัดลพบุรี,6,abc123654,1111111111310
2,9,635,จังหวัดลำปาง,14,abc123655,1111111111311
1,11,980,จังหวัดลำพูน,12,abc123656,1111111111312
1,14,768,จังหวัดเลย,12,abc123657,1111111111313
2,2,235,จังหวัดศรีสะเกษ,5,abc123658,1111111111314
1,3,331,จังหวัดสกลนคร,5,abc123659,1111111111315
1,6,484,จังหวัดสงขลา,11,abc123660,1111111111316
2,2,448,จังหวัดสตูล,1,abc123661,1111111111317
2,11,516,จังหวัดสมุทรปราการ,10,abc123662,1111111111318
2,4,119,จังหวัดสมุทรสงคราม,2,abc123663,1111111111319
1,12,167,จังหวัดสมุทรสาคร,13,abc123664,1111111111320
1,5,621,จังหวัดสระแก้ว,12,abc123665,1111111111321
1,7,398,จังหวัดหนองบัวลำภู,2,abc123666,1111111111322
2,12,479,จังหวัดสระบุรี,2,abc123667,1111111111323
2,7,889,จังหวัดสิงห์บุรี,6,abc123668,1111111111324
2,1,873,จังหวัดสุโขทัย,11,abc123669,1111111111325
1,9,306,จังหวัดสุพรรณบุรี,8,abc123670,1111111111326
1,2,68,จังหวัดสุราษฎร์ธานี,4,abc123671,1111111111327
2,11,535,จังหวัดสุรินทร์,14,abc123672,1111111111328
2,5,269,จังหวัดหนองคาย,14,abc123673,1111111111329
1,13,89,จังหวัดอ่างทอง,8,abc123674,1111111111330
1,3,432,จังหวัดอำนาจเจริญ,14,abc123675,1111111111331
2,12,635,จังหวัดอุดรธานี,2,abc123676,1111111111332
2,3,830,จังหวัดอุตรดิตถ์,4,abc123677,1111111111333
2,3,669,จังหวัดอุทัยธานี,3,abc123678,1111111111334
2,6,737,จังหวัดอุบลราชธานี,6,abc123679,1111111111335
2,10,144,จังหวัดกระบี่,13,abc123680,1111111111336
2,12,548,จังหวัดกาญจนบุรี,12,abc123681,1111111111337
1,2,503,จังหวัดกาฬสินธุ์,8,abc123682,1111111111338
1,6,188,จังหวัดกำแพงเพชร,5,abc123683,1111111111339
2,14,464,จังหวัดขอนแก่น,2,abc123684,1111111111340
2,10,273,จังหวัดจันทบุรี,9,abc123685,1111111111341
2,8,979,จังหวัดฉะเชิงเทรา,6,abc123686,1111111111342
1,11,175,จังหวัดชลบุรี,8,abc123687,1111111111343
1,4,626,จังหวัดชัยนาท,3,abc123688,1111111111344
2,10,897,จังหวัดชัยภูมิ,9,abc123689,1111111111345
2,3,713,จังหวัดชุมพร,7,abc123690,1111111111346
1,7,376,จังหวัดเชียงราย,8,abc123691,1111111111347
2,14,497,จังหวัดเชียงใหม่,12,abc123692,1111111111348
1,5,860,จังหวัดตรัง,8,abc123693,1111111111349
1,3,96,จังหวัดตราด,2,abc123694,1111111111350
2,1,196,จังหวัดตาก,6,abc123695,1111111111351
2,2,42,จังหวัดนครนายก,8,abc123696,1111111111352
1,8,938,จังหวัดนครปฐม,13,abc123697,1111111111353
1,10,569,จังหวัดนครพนม,9,abc123698,1111111111354
2,11,942,จังหวัดนครราชสีมา,13,abc123699,1111111111355
1,10,960,จังหวัดนครศรีธรรมราช,9,abc123700,1111111111356
2,10,629,จังหวัดนครสวรรค์,6,abc123701,1111111111357
2,10,823,จังหวัดนนทบุรี,5,abc123702,1111111111358
1,7,94,จังหวัดนราธิวาส,13,abc123703,1111111111359
2,5,462,จังหวัดน่าน,10,abc123704,1111111111360
1,8,261,จังหวัดบึงกาฬ,7,abc123705,1111111111361
1,11,551,จังหวัดบุรีรัมย์,6,abc123706,1111111111362
1,12,855,จังหวัดปทุมธานี,10,abc123707,1111111111363
2,4,544,จังหวัดประจวบคีรีขันธ์,13,abc123708,1111111111364
2,13,66,จังหวัดปราจีนบุรี,9,abc123709,1111111111365
2,13,403,จังหวัดปัตตานี,3,abc123710,1111111111366
2,11,955,จังหวัดพระนครศรีอยุธยา,2,abc123711,1111111111367
2,2,929,จังหวัดพะเยา,1,abc123712,1111111111368
1,11,103,จังหวัดพังงา,4,abc123713,1111111111369
1,11,554,จังหวัดพัทลุง,11,abc123714,1111111111370
1,8,304,จังหวัดพิจิตร,4,abc123715,1111111111371
1,8,684,จังหวัดพิษณุโลก,8,abc123716,1111111111372
2,2,868,จังหวัดเพชรบุรี,2,abc123717,1111111111373
2,10,630,จังหวัดเพชรบูรณ์,6,abc123718,1111111111374
1,11,687,จังหวัดแพร่,5,abc123719,1111111111375
2,2,689,จังหวัดภูเก็ต,9,abc123720,1111111111376
1,13,830,จังหวัดมหาสารคาม,2,abc123721,1111111111377
1,14,786,จังหวัดมุกดาหาร,12,abc123722,1111111111378
2,10,149,จังหวัดแม่ฮ่องสอน,12,abc123723,1111111111379
2,4,276,จังหวัดยโสธร,9,abc123724,1111111111380
2,6,949,จังหวัดยะลา,14,abc123725,1111111111381
2,13,409,จังหวัดร้อยเอ็ด,5,abc123726,1111111111382
1,12,121,จังหวัดระนอง,13,abc123727,1111111111383
1,10,830,จังหวัดระยอง,11,abc123728,1111111111384
1,10,416,จังหวัดราชบุรี,7,abc123729,1111111111385
2,7,257,จังหวัดลพบุรี,3,abc123730,1111111111386
2,5,584,จังหวัดลำปาง,8,abc123731,1111111111387
1,6,597,จังหวัดลำพูน,6,abc123732,1111111111388
1,12,493,จังหวัดเลย,9,abc123733,1111111111389
2,5,846,จังหวัดศรีสะเกษ,12,abc123734,1111111111390
1,8,811,จังหวัดสกลนคร,8,abc123735,1111111111391
2,4,739,จังหวัดสงขลา,8,abc123736,1111111111392
2,10,334,จังหวัดสตูล,7,abc123737,1111111111393
2,1,553,จังหวัดสมุทรปราการ,6,abc123738,1111111111394
1,5,278,จังหวัดสมุทรสงคราม,3,abc123739,1111111111395
2,1,447,จังหวัดสมุทรสาคร,5,abc123740,1111111111396
2,9,101,จังหวัดสระแก้ว,1,abc123741,1111111111397
1,14,198,จังหวัดหนองบัวลำภู,5,abc123742,1111111111398
2,5,379,จังหวัดสระบุรี,3,abc123743,1111111111399
1,1,3,จังหวัดสิงห์บุรี,3,abc123744,1111111111400
1,13,533,จังหวัดสุโขทัย,11,abc123745,1111111111401
1,5,860,จังหวัดสุพรรณบุรี,12,abc123746,1111111111402
1,1,462,จังหวัดสุราษฎร์ธานี,2,abc123747,1111111111403
1,11,793,จังหวัดสุรินทร์,7,abc123748,1111111111404
1,1,335,จังหวัดหนองคาย,9,abc123749,1111111111405
2,13,271,จังหวัดอ่างทอง,2,abc123750,1111111111406
2,11,536,จังหวัดอำนาจเจริญ,13,abc123751,1111111111407
2,13,662,จังหวัดอุดรธานี,14,abc123752,1111111111408
2,8,439,จังหวัดอุตรดิตถ์,1,abc123753,1111111111409
1,11,442,จังหวัดอุทัยธานี,9,abc123754,1111111111410
1,8,719,จังหวัดอุบลราชธานี,14,abc123755,1111111111411
2,1,414,จังหวัดกระบี่,14,abc123756,1111111111412
1,14,210,จังหวัดกาญจนบุรี,6,abc123757,1111111111413
1,11,89,จังหวัดกาฬสินธุ์,8,abc123758,1111111111414
2,14,128,จังหวัดกำแพงเพชร,13,abc123759,1111111111415
2,12,955,จังหวัดขอนแก่น,4,abc123760,1111111111416
2,14,140,จังหวัดจันทบุรี,8,abc123761,1111111111417
2,7,26,จังหวัดฉะเชิงเทรา,5,abc123762,1111111111418
1,4,443,จังหวัดชลบุรี,8,abc123763,1111111111419
2,14,341,จังหวัดชัยนาท,3,abc123764,1111111111420
2,1,437,จังหวัดชัยภูมิ,4,abc123765,1111111111421
2,2,930,จังหวัดชุมพร,11,abc123766,1111111111422
1,13,827,จังหวัดเชียงราย,3,abc123767,1111111111423
1,6,948,จังหวัดเชียงใหม่,12,abc123768,1111111111424
1,7,191,จังหวัดตรัง,14,abc123769,1111111111425
2,3,811,จังหวัดตราด,13,abc123770,1111111111426
2,2,225,จังหวัดตาก,7,abc123771,1111111111427
2,7,94,จังหวัดนครนายก,2,abc123772,1111111111428
1,6,460,จังหวัดนครปฐม,10,abc123773,1111111111429
2,9,39,จังหวัดนครพนม,13,abc123774,1111111111430
2,13,329,จังหวัดนครราชสีมา,2,abc123775,1111111111431
1,2,698,จังหวัดนครศรีธรรมราช,5,abc123776,1111111111432
2,14,718,จังหวัดนครสวรรค์,4,abc123777,1111111111433
1,1,45,จังหวัดนนทบุรี,2,abc123778,1111111111434
1,3,645,จังหวัดนราธิวาส,12,abc123779,1111111111435
2,9,988,จังหวัดน่าน,2,abc123780,1111111111436
2,13,596,จังหวัดบึงกาฬ,12,abc123781,1111111111437
1,4,628,จังหวัดบุรีรัมย์,10,abc123782,1111111111438
2,7,176,จังหวัดปทุมธานี,4,abc123783,1111111111439
1,11,838,จังหวัดประจวบคีรีขันธ์,10,abc123784,1111111111440
1,5,728,จังหวัดปราจีนบุรี,9,abc123785,1111111111441
2,10,392,จังหวัดปัตตานี,9,abc123786,1111111111442
2,4,208,จังหวัดพระนครศรีอยุธยา,1,abc123787,1111111111443
1,4,40,จังหวัดพะเยา,4,abc123788,1111111111444
2,8,827,จังหวัดพังงา,10,abc123789,1111111111445
2,14,967,จังหวัดพัทลุง,5,abc123790,1111111111446
1,2,555,จังหวัดพิจิตร,2,abc123791,1111111111447
2,10,736,จังหวัดพิษณุโลก,7,abc123792,1111111111448
1,3,829,จังหวัดเพชรบุรี,8,abc123793,1111111111449
2,9,532,จังหวัดเพชรบูรณ์,8,abc123794,1111111111450
2,7,417,จังหวัดแพร่,11,abc123795,1111111111451
1,14,226,จังหวัดภูเก็ต,3,abc123796,1111111111452
2,8,40,จังหวัดมหาสารคาม,1,abc123797,1111111111453
1,1,671,จังหวัดมุกดาหาร,1,abc123798,1111111111454
1,3,699,จังหวัดแม่ฮ่องสอน,14,abc123799,1111111111455
1,7,619,จังหวัดยโสธร,6,abc123800,1111111111456
2,11,760,จังหวัดยะลา,10,abc123801,1111111111457
1,6,706,จังหวัดร้อยเอ็ด,14,abc123802,1111111111458
1,11,217,จังหวัดระนอง,8,abc123803,1111111111459
1,11,127,จังหวัดระยอง,14,abc123804,1111111111460
1,11,772,จังหวัดราชบุรี,12,abc123805,1111111111461
1,13,502,จังหวัดลพบุรี,13,abc123806,1111111111462
2,9,750,จังหวัดลำปาง,11,abc123807,1111111111463
2,7,301,จังหวัดลำพูน,2,abc123808,1111111111464
1,5,421,จังหวัดเลย,2,abc123809,1111111111465
2,5,174,จังหวัดศรีสะเกษ,10,abc123810,1111111111466
2,10,295,จังหวัดสกลนคร,3,abc123811,1111111111467
2,5,221,จังหวัดสงขลา,7,abc123812,1111111111468
1,1,755,จังหวัดสตูล,3,abc123813,1111111111469
2,3,270,จังหวัดสมุทรปราการ,14,abc123814,1111111111470
1,2,186,จังหวัดสมุทรสงคราม,9,abc123815,1111111111471
1,4,418,จังหวัดสมุทรสาคร,9,abc123816,1111111111472
1,13,326,จังหวัดสระแก้ว,9,abc123817,1111111111473
1,3,769,จังหวัดหนองบัวลำภู,4,abc123818,1111111111474
1,12,990,จังหวัดสระบุรี,1,abc123819,1111111111475
1,3,347,จังหวัดสิงห์บุรี,7,abc123820,1111111111476
2,6,821,จังหวัดสุโขทัย,12,abc123821,1111111111477
1,9,667,จังหวัดสุพรรณบุรี,8,abc123822,1111111111478
2,12,198,จังหวัดสุราษฎร์ธานี,9,abc123823,1111111111479
2,8,315,จังหวัดสุรินทร์,14,abc123824,1111111111480
1,13,650,จังหวัดหนองคาย,5,abc123825,1111111111481
1,5,30,จังหวัดอ่างทอง,3,abc123826,1111111111482
1,4,780,จังหวัดอำนาจเจริญ,11,abc123827,1111111111483
1,8,108,จังหวัดอุดรธานี,7,abc123828,1111111111484
2,1,954,จังหวัดอุตรดิตถ์,8,abc123829,1111111111485
2,2,117,จังหวัดอุทัยธานี,11,abc123830,1111111111486
2,10,606,จังหวัดอุบลราชธานี,13,abc123831,1111111111487
1,5,969,จังหวัดกระบี่,8,abc123832,1111111111488
2,9,309,จังหวัดกาญจนบุรี,13,abc123833,1111111111489
2,2,604,จังหวัดกาฬสินธุ์,14,abc123834,1111111111490
1,3,595,จังหวัดกำแพงเพชร,7,abc123835,1111111111491
1,2,228,จังหวัดขอนแก่น,8,abc123836,1111111111492
2,4,551,จังหวัดจันทบุรี,2,abc123837,1111111111493
1,5,974,จังหวัดฉะเชิงเทรา,13,abc123838,1111111111494
2,12,194,จังหวัดชลบุรี,6,abc123839,1111111111495
1,11,603,จังหวัดชัยนาท,6,abc123840,1111111111496
1,7,727,จังหวัดชัยภูมิ,14,abc123841,1111111111497
1,8,880,จังหวัดชุมพร,11,abc123842,1111111111498
1,1,456,จังหวัดเชียงราย,14,abc123843,1111111111499
2,4,148,จังหวัดเชียงใหม่,10,abc123844,1111111111500
2,7,191,จังหวัดตรัง,7,abc123845,1111111111501
2,11,640,จังหวัดตราด,3,abc123846,1111111111502
1,8,572,จังหวัดตาก,3,abc123847,1111111111503
2,2,882,จังหวัดนครนายก,11,abc123848,1111111111504
2,13,235,จังหวัดนครปฐม,2,abc123849,1111111111505
2,2,60,จังหวัดนครพนม,2,abc123850,1111111111506
2,9,146,จังหวัดนครราชสีมา,2,abc123851,1111111111507
2,13,357,จังหวัดนครศรีธรรมราช,8,abc123852,1111111111508
1,2,457,จังหวัดนครสวรรค์,4,abc123853,1111111111509
2,2,458,จังหวัดนนทบุรี,1,abc123854,1111111111510
2,5,924,จังหวัดนราธิวาส,10,abc123855,1111111111511
2,5,833,จังหวัดน่าน,11,abc123856,1111111111512
2,14,275,จังหวัดบึงกาฬ,8,abc123857,1111111111513
2,10,127,จังหวัดบุรีรัมย์,4,abc123858,1111111111514
2,7,940,จังหวัดปทุมธานี,14,abc123859,1111111111515
1,12,249,จังหวัดประจวบคีรีขันธ์,1,abc123860,1111111111516
2,8,619,จังหวัดปราจีนบุรี,11,abc123861,1111111111517
1,6,430,จังหวัดปัตตานี,6,abc123862,1111111111518
1,3,263,จังหวัดพระนครศรีอยุธยา,8,abc123863,1111111111519
2,1,891,จังหวัดพะเยา,11,abc123864,1111111111520
2,14,824,จังหวัดพังงา,13,abc123865,1111111111521
2,10,417,จังหวัดพัทลุง,7,abc123866,1111111111522
2,5,602,จังหวัดพิจิตร,13,abc123867,1111111111523
2,7,517,จังหวัดพิษณุโลก,5,abc123868,1111111111524
